         Step axial_stra... axial_stre... 
 5.520000e+03 -5.565903e-05 -5.387391e+06 
 5.530000e+03 -5.614900e-05 -5.442552e+06 
 5.540000e+03 -5.663897e-05 -5.494424e+06 
 5.550000e+03 -5.712894e-05 -5.544004e+06 
 5.560000e+03 -5.761891e-05 -5.593364e+06 
 5.570000e+03 -5.810888e-05 -5.645332e+06 
 5.580000e+03 -5.859885e-05 -5.702883e+06 
 5.590000e+03 -5.908882e-05 -5.767646e+06 
 5.600000e+03 -5.957880e-05 -5.839149e+06 
 5.610000e+03 -6.006877e-05 -5.914841e+06 
 5.620000e+03 -6.055874e-05 -5.991014e+06 
 5.630000e+03 -6.104871e-05 -6.063974e+06 
 5.640000e+03 -6.153868e-05 -6.130584e+06 
 5.650000e+03 -6.202865e-05 -6.188589e+06 
 5.660000e+03 -6.251862e-05 -6.236348e+06 
 5.670000e+03 -6.300859e-05 -6.273282e+06 
 5.680000e+03 -6.349856e-05 -6.300063e+06 
 5.690000e+03 -6.398853e-05 -6.318353e+06 
 5.700000e+03 -6.447850e-05 -6.330705e+06 
 5.710000e+03 -6.496847e-05 -6.340200e+06 
 5.720000e+03 -6.545844e-05 -6.350336e+06 
 5.730000e+03 -6.594841e-05 -6.364524e+06 
 5.740000e+03 -6.643838e-05 -6.385886e+06 
 5.750000e+03 -6.692836e-05 -6.416382e+06 
 5.760000e+03 -6.741833e-05 -6.456540e+06 
 5.770000e+03 -6.790830e-05 -6.505995e+06 
 5.780000e+03 -6.839827e-05 -6.563530e+06 
 5.790000e+03 -6.888824e-05 -6.627199e+06 
 5.800000e+03 -6.937821e-05 -6.694584e+06 
 5.810000e+03 -6.986818e-05 -6.763479e+06 
 5.820000e+03 -7.035815e-05 -6.832007e+06 
 5.830000e+03 -7.084812e-05 -6.898892e+06 
 5.840000e+03 -7.133809e-05 -6.963526e+06 
 5.850000e+03 -7.182807e-05 -7.025673e+06 
 5.860000e+03 -7.231804e-05 -7.085774e+06 
 5.870000e+03 -7.280801e-05 -7.144564e+06 
 5.880000e+03 -7.329798e-05 -7.203000e+06 
 5.890000e+03 -7.378795e-05 -7.261958e+06 
 5.900000e+03 -7.427792e-05 -7.321740e+06 
 5.910000e+03 -7.476789e-05 -7.381914e+06 
 5.920000e+03 -7.525787e-05 -7.441469e+06 
 5.930000e+03 -7.574784e-05 -7.498918e+06 
 5.940000e+03 -7.623781e-05 -7.552549e+06 
 5.950000e+03 -7.672778e-05 -7.600635e+06 
 5.960000e+03 -7.721775e-05 -7.641896e+06 
 5.970000e+03 -7.770772e-05 -7.675859e+06 
 5.980000e+03 -7.819769e-05 -7.702775e+06 
 5.990000e+03 -7.868767e-05 -7.723648e+06 
 6.000000e+03 -7.917764e-05 -7.740128e+06 
 6.010000e+03 -7.966761e-05 -7.754495e+06 
 6.020000e+03 -8.015758e-05 -7.769111e+06 
 6.030000e+03 -8.064755e-05 -7.786653e+06 
 6.040000e+03 -8.113752e-05 -7.809753e+06 
 6.050000e+03 -8.162750e-05 -7.840335e+06 
 6.060000e+03 -8.211747e-05 -7.879599e+06 
 6.070000e+03 -8.260744e-05 -7.927723e+06 
 6.080000e+03 -8.309741e-05 -7.983961e+06 
 6.090000e+03 -8.358738e-05 -8.046928e+06 
 6.100000e+03 -8.407736e-05 -8.114805e+06 
 6.110000e+03 -8.456733e-05 -8.185827e+06 
 6.120000e+03 -8.505730e-05 -8.258272e+06 
 6.130000e+03 -8.554727e-05 -8.330665e+06 
 6.140000e+03 -8.603724e-05 -8.401837e+06 
 6.150000e+03 -8.652722e-05 -8.470914e+06 
 6.160000e+03 -8.701719e-05 -8.537387e+06 
 6.170000e+03 -8.750716e-05 -8.601122e+06 
 6.180000e+03 -8.799713e-05 -8.662191e+06 
 6.190000e+03 -8.848711e-05 -8.720803e+06 
 6.200000e+03 -8.897708e-05 -8.777153e+06 
 6.210000e+03 -8.946705e-05 -8.831350e+06 
 6.220000e+03 -8.995702e-05 -8.883290e+06 
 6.230000e+03 -9.044700e-05 -8.932672e+06 
 6.240000e+03 -9.093697e-05 -8.979078e+06 
 6.250000e+03 -9.142694e-05 -9.021980e+06 
 6.260000e+03 -9.191691e-05 -9.060869e+06 
 6.270000e+03 -9.240689e-05 -9.095333e+06 
 6.280000e+03 -9.289686e-05 -9.125320e+06 
 6.290000e+03 -9.338683e-05 -9.151167e+06 
 6.300000e+03 -9.387680e-05 -9.173656e+06 
 6.310000e+03 -9.436678e-05 -9.193959e+06 
 6.320000e+03 -9.485675e-05 -9.213640e+06 
 6.330000e+03 -9.534672e-05 -9.234489e+06 
 6.340000e+03 -9.583669e-05 -9.258482e+06 
 6.350000e+03 -9.632667e-05 -9.287411e+06 
 6.360000e+03 -9.681664e-05 -9.322760e+06 
 6.370000e+03 -9.730661e-05 -9.365530e+06 
 6.380000e+03 -9.779659e-05 -9.415903e+06 
 6.390000e+03 -9.828656e-05 -9.473328e+06 
 6.400000e+03 -9.877653e-05 -9.536828e+06 
 6.410000e+03 -9.926650e-05 -9.605179e+06 
 6.420000e+03 -9.975648e-05 -9.676919e+06 
 6.430000e+03 -1.002465e-04 -9.750355e+06 
 6.440000e+03 -1.007364e-04 -9.823791e+06 
 6.450000e+03 -1.012264e-04 -9.895854e+06 
 6.460000e+03 -1.017164e-04 -9.965433e+06 
 6.470000e+03 -1.022063e-04 -1.003172e+07 
 6.480000e+03 -1.026963e-04 -1.009423e+07 
 6.490000e+03 -1.031863e-04 -1.015282e+07 
 6.500000e+03 -1.036763e-04 -1.020762e+07 
 6.510000e+03 -1.041662e-04 -1.025889e+07 
 6.520000e+03 -1.046562e-04 -1.030700e+07 
 6.530000e+03 -1.051462e-04 -1.035231e+07 
 6.540000e+03 -1.056362e-04 -1.039514e+07 
 6.550000e+03 -1.061261e-04 -1.043571e+07 
 6.560000e+03 -1.066161e-04 -1.047411e+07 
 6.570000e+03 -1.071061e-04 -1.051036e+07 
 6.580000e+03 -1.075960e-04 -1.054443e+07 
 6.590000e+03 -1.080860e-04 -1.057639e+07 
 6.600000e+03 -1.085760e-04 -1.060645e+07 
 6.610000e+03 -1.090660e-04 -1.063504e+07 
 6.620000e+03 -1.095559e-04 -1.066277e+07 
 6.630000e+03 -1.100459e-04 -1.069052e+07 
 6.640000e+03 -1.105359e-04 -1.071940e+07 
 6.650000e+03 -1.110259e-04 -1.075072e+07 
 6.660000e+03 -1.115158e-04 -1.078584e+07 
 6.670000e+03 -1.120058e-04 -1.082589e+07 
 6.680000e+03 -1.124958e-04 -1.087157e+07 
 6.690000e+03 -1.129858e-04 -1.092306e+07 
 6.700000e+03 -1.134757e-04 -1.098016e+07 
 6.710000e+03 -1.139657e-04 -1.104224e+07 
 6.720000e+03 -1.144557e-04 -1.110830e+07 
 6.730000e+03 -1.149457e-04 -1.117703e+07 
 6.740000e+03 -1.154356e-04 -1.124690e+07 
 6.750000e+03 -1.159256e-04 -1.131650e+07 
 6.760000e+03 -1.164156e-04 -1.138452e+07 
 6.770000e+03 -1.169056e-04 -1.144983e+07 
 6.780000e+03 -1.173955e-04 -1.151174e+07 
 6.790000e+03 -1.178855e-04 -1.156979e+07 
 6.800000e+03 -1.183755e-04 -1.162379e+07 
 6.810000e+03 -1.188655e-04 -1.167394e+07 
 6.820000e+03 -1.193554e-04 -1.172060e+07 
 6.830000e+03 -1.198454e-04 -1.176424e+07 
 6.840000e+03 -1.203354e-04 -1.180552e+07 
 6.850000e+03 -1.208253e-04 -1.184503e+07 
 6.860000e+03 -1.213153e-04 -1.188315e+07 
 6.870000e+03 -1.218053e-04 -1.192026e+07 
 6.880000e+03 -1.222953e-04 -1.195655e+07 
 6.890000e+03 -1.227852e-04 -1.199205e+07 
 6.900000e+03 -1.232752e-04 -1.202700e+07 
 6.910000e+03 -1.237652e-04 -1.206155e+07 
 6.920000e+03 -1.242552e-04 -1.209601e+07 
 6.930000e+03 -1.247451e-04 -1.213080e+07 
 6.940000e+03 -1.252351e-04 -1.216653e+07 
 6.950000e+03 -1.257251e-04 -1.220392e+07 
 6.960000e+03 -1.262151e-04 -1.224377e+07 
 6.970000e+03 -1.267050e-04 -1.228682e+07 
 6.980000e+03 -1.271950e-04 -1.233360e+07 
 6.990000e+03 -1.276850e-04 -1.238442e+07 
 7.000000e+03 -1.281750e-04 -1.243927e+07 
 7.010000e+03 -1.286649e-04 -1.249786e+07 
 7.020000e+03 -1.291549e-04 -1.255951e+07 
 7.030000e+03 -1.296449e-04 -1.262327e+07 
 7.040000e+03 -1.301349e-04 -1.268796e+07 
 7.050000e+03 -1.306248e-04 -1.275245e+07 
 7.060000e+03 -1.311148e-04 -1.281567e+07 
 7.070000e+03 -1.316048e-04 -1.287670e+07 
 7.080000e+03 -1.320948e-04 -1.293483e+07 
 7.090000e+03 -1.325847e-04 -1.298960e+07 
 7.100000e+03 -1.330747e-04 -1.304089e+07 
 7.110000e+03 -1.335647e-04 -1.308872e+07 
 7.120000e+03 -1.340547e-04 -1.313345e+07 
 7.130000e+03 -1.345446e-04 -1.317559e+07 
 7.140000e+03 -1.350346e-04 -1.321568e+07 
 7.150000e+03 -1.355246e-04 -1.325427e+07 
 7.160000e+03 -1.360146e-04 -1.329196e+07 
 7.170000e+03 -1.365045e-04 -1.332919e+07 
 7.180000e+03 -1.369945e-04 -1.336637e+07 
 7.190000e+03 -1.374845e-04 -1.340366e+07 
 7.200000e+03 -1.379745e-04 -1.344127e+07 
 7.210000e+03 -1.384644e-04 -1.347934e+07 
 7.220000e+03 -1.389544e-04 -1.351805e+07 
 7.230000e+03 -1.394444e-04 -1.355774e+07 
 7.240000e+03 -1.399344e-04 -1.359872e+07 
 7.250000e+03 -1.404243e-04 -1.364141e+07 
 7.260000e+03 -1.409143e-04 -1.368629e+07 
 7.270000e+03 -1.414043e-04 -1.373377e+07 
 7.280000e+03 -1.418943e-04 -1.378409e+07 
 7.290000e+03 -1.423843e-04 -1.383732e+07 
 7.300000e+03 -1.428742e-04 -1.389338e+07 
 7.310000e+03 -1.433642e-04 -1.395193e+07 
 7.320000e+03 -1.438542e-04 -1.401244e+07 
 7.330000e+03 -1.443442e-04 -1.407415e+07 
 7.340000e+03 -1.448341e-04 -1.413620e+07 
 7.350000e+03 -1.453241e-04 -1.419773e+07 
 7.360000e+03 -1.458141e-04 -1.425797e+07 
 7.370000e+03 -1.463041e-04 -1.431617e+07 
 7.380000e+03 -1.467940e-04 -1.437170e+07 
 7.390000e+03 -1.472840e-04 -1.442411e+07 
 7.400000e+03 -1.477740e-04 -1.447323e+07 
 7.410000e+03 -1.482640e-04 -1.451906e+07 
 7.420000e+03 -1.487539e-04 -1.456185e+07 
 7.430000e+03 -1.492439e-04 -1.460197e+07 
 7.440000e+03 -1.497339e-04 -1.463998e+07 
 7.450000e+03 -1.502239e-04 -1.467641e+07 
 7.460000e+03 -1.507138e-04 -1.471193e+07 
 7.470000e+03 -1.512038e-04 -1.474721e+07 
 7.480000e+03 -1.516938e-04 -1.478287e+07 
 7.490000e+03 -1.521838e-04 -1.481938e+07 
 7.500000e+03 -1.526738e-04 -1.485715e+07 
 7.510000e+03 -1.531637e-04 -1.489626e+07 
 7.520000e+03 -1.536537e-04 -1.493690e+07 
 7.530000e+03 -1.541437e-04 -1.497924e+07 
 7.540000e+03 -1.546337e-04 -1.502348e+07 
 7.550000e+03 -1.551236e-04 -1.506976e+07 
 7.560000e+03 -1.556136e-04 -1.511820e+07 
 7.570000e+03 -1.561036e-04 -1.516895e+07 
 7.580000e+03 -1.565936e-04 -1.522205e+07 
 7.590000e+03 -1.570835e-04 -1.527741e+07 
 7.600000e+03 -1.575735e-04 -1.533481e+07 
 7.610000e+03 -1.580635e-04 -1.539391e+07 
 7.620000e+03 -1.585535e-04 -1.545421e+07 
 7.630000e+03 -1.590434e-04 -1.551514e+07 
 7.640000e+03 -1.595334e-04 -1.557604e+07 
